episode_number,date_episode_published,data_set,year_elligible_for_best_of,duration_in_minutes,episode_type,episode_title,guests_and_characters_from_wikipedia_semicolon_delimited,synopsis_and_segments,fandom_wikia_suffix,best_of_rank,weight_flat,weight_inverse,weight_linear,is_on_best_of_boolean
14,2009-07-31,ignored,2009,60,regular,An Old Fashioned Dinner,"Andy Samberg;Zach Galifianakis;Andy Daly as Danny Mahoney, Shooter, and himself;Doug Benson",Would You Rather,https://comedybangbang.fandom.com/wiki/An_Old_Fashioned_Dinner,,1.0,0.071,0.069,TRUE
15,2009-08-07,ignored,2009,60,regular,Four Douche Episode,Steve Agee;Natasha Leggero;Matt Besser as himself and Björk,Would You Rather,https://comedybangbang.fandom.com/wiki/Four_Douche_Episode,,1.0,0.071,0.069,TRUE
16,2009-08-14,ignored,2009,68,regular,Bob Odenkirks Death Bed,Andy Dick;Bob Odenkirk;Chelsea Peretti,Would You Rather,https://comedybangbang.fandom.com/wiki/Bob_Odenkirk%27s_Death_Bed,,1.0,0.071,0.069,TRUE
17,2009-08-21,ignored,2009,66,regular,Live From Downtown Franklin,Thomas Lennon as Little Gary and himself;Matt Walsh;Matt Braunger,Would You Rather,https://comedybangbang.fandom.com/wiki/Live_from_Downtown_Franklin,,1.0,0.071,0.069,TRUE
18,2009-08-28,ignored,2009,66,regular,Poppin Bottles,Andy Kindler;Jerry Minor;Brendon Walsh,Would You Rather,https://comedybangbang.fandom.com/wiki/Poppin%27_Bottles,,1.0,0.071,0.069,TRUE
19,2009-09-04,ignored,2009,58,regular,SNL Reunion,Kevin Nealon;Laraine Newman;Casey Wilson,Would You Rather,https://comedybangbang.fandom.com/wiki/SNL_Reunion,,1.0,0.071,0.069,FALSE
20,2009-09-11,ignored,2009,57,regular,World Premiere of Tangelo,Mary Lynn Rajskub;Reggie Watts;Rory Scovel,Would You Rather,https://comedybangbang.fandom.com/wiki/World_Premiere_of_Tangelo,,1.0,0.071,0.069,FALSE
21,2009-09-18,ignored,2009,54,regular,Morning Becomes Oddly Racist,Chris Hardwick;Charlyne Yi;Seth Morris as Nathan Brantley,,https://comedybangbang.fandom.com/wiki/Morning_Becomes_Oddly_Racist,,1.0,0.071,0.069,FALSE
22,2009-09-25,ignored,2009,51,guest_host,Yet Another Pardo-sode,Jimmy Pardo;Dana Gould;Matt Belknap;Pat Francis as Paul Stanley;Mike Toomey as Kirk Rocker,,https://comedybangbang.fandom.com/wiki/Yet_Another_Pardo-sode,,1.0,0.071,0.069,FALSE
23,2009-10-02,ignored,2009,53,guest_host,Guest Host Paul F. Tompkins,Paul F. Tompkins;Weird Al Yankovic;Tig Notaro,,https://comedybangbang.fandom.com/wiki/Guest_Host_Paul_F._Tompkins,,1.0,0.071,0.069,FALSE
24,2009-10-09,ignored,2009,63,regular,No Such Thing As Shirter!,Nick Swardson;Matt Walsh;James Adomian as Gary Busey;Paul F. Tompkins,,https://comedybangbang.fandom.com/wiki/No_Such_Thing_as_Shirter!,,1.0,0.071,0.069,FALSE
25,2009-10-16,ignored,2009,61,regular,Were Down For Whatewers,Gregg Turkington as Neil Hamburger;Mike OConnell;Brent Weinbach,,https://comedybangbang.fandom.com/wiki/We%27re_Down_for_Whatewers,,1.0,0.071,0.069,FALSE
26,2009-10-23,ignored,2009,62,regular,What Do You Say To Your Dog?,Sarah Silverman;Andy Richter,,https://comedybangbang.fandom.com/wiki/What_Do_You_Say_to_Your_Dog%3F,,1.0,0.071,0.069,TRUE
27,2009-10-30,ignored,2009,40,guest_host,A Cyberthug Take-Over!,Jerry Minor as Cyber Thug;Jerry OConnell;Nick Kroll;Sean Dickerson as Miles Archer,,https://comedybangbang.fandom.com/wiki/A_Cyberthug_Take-Over!,,1.0,0.071,0.069,FALSE
28,2009-11-06,ignored,2009,59,regular,Did Somebody Sit on a Duck?,Paul F. Tompkins;Todd Glass;Jon Daly,,https://comedybangbang.fandom.com/wiki/Did_Somebody_Sit_on_a_Duck%3F,,1.0,0.071,0.069,TRUE
29,2009-11-13,ignored,2009,54,regular,Introducing Huell Howser,Ben Schwartz;Chip Pope;James Adomian as Huell Howser,,https://comedybangbang.fandom.com/wiki/Introducing_Huell_Howser,,1.0,0.071,0.069,TRUE
30,2009-11-20,ignored,2009,63,regular,Yerr An Egghead!,"Matt Walsh;Howard Kremer as himself, Sloppy Timmy Slotsman, Big Jim Slotsman, and Bobby Jensen;Dave Holmes",,https://comedybangbang.fandom.com/wiki/Yerr_an_Egghead!,,1.0,0.071,0.069,FALSE
31,2009-11-27,ignored,2009,96,regular,Happy Black Friday!,Michael Cera;Harris Wittels;James Adomian as Huell Howser;Paul F. Tompkins as Ice-T;Jimmy Pardo;Nick Kroll as Bobby Bottleservice,Harris Phone Corner; Would You Rather,https://comedybangbang.fandom.com/wiki/Happy_Black_Friday!,,1.0,0.071,0.069,FALSE
32,2009-12-04,ignored,2009,56,regular,Raaaaaaaandy!,"Aziz Ansari;Brendon Small as himself, Captain Moustache, Fat Albert, and Louis Armstrong;Hal Rudnick as Stan Lee",,https://comedybangbang.fandom.com/wiki/Raaaaaaaandy!,,1.0,0.071,0.069,FALSE
33,2009-12-11,ignored,2009,59,regular,Welcome To Jamrock,Kyle Kinane;Paul F. Tompkins,,https://comedybangbang.fandom.com/wiki/Welcome_to_Jamrock,,1.0,0.071,0.069,FALSE
34,2009-12-18,ignored,2009,70,regular,Have A Merry Christmas...,Jon Hamm;Doug Benson;Nick Kroll as El Chupacabra;Paul F. Tompkins as John C. Reilly;James Adomian as Jesse Ventura;Kulap Vilaysack,,https://comedybangbang.fandom.com/wiki/Have_a_Merry_Christmas...,,1.0,0.071,0.069,TRUE
35,2010-01-08,training,2010,56,regular,And A Happy New Year!,Thomas Lennon as Little Gary and Chris Mindy;Patton Oswalt;Brett Gelman,,https://comedybangbang.fandom.com/wiki/And_a_Happy_New_Year!,,1.0,0.077,0.138,TRUE
36,2010-01-15,training,2010,62,guest_host,Another Cyberthug Take-Over!,Jerry Minor as Cyber Thug;Matt Besser as Kanye East and Taylor Slow;Sean Dickerson as Miles Archer,,https://comedybangbang.fandom.com/wiki/Another_Cyberthug_Take-Over,,1.0,0.077,0.138,FALSE
37,2010-01-22,training,2010,61,regular,Exclusive Prince Interview,Sarah Silverman;Todd Glass;Hannibal Buress,,https://comedybangbang.fandom.com/wiki/Exclusive_Prince_Interview,,1.0,0.077,0.138,FALSE
38,2010-01-29,training,2010,59,guest_host,Paul F. Tompkins Steps In,Paul F. Tompkins;Kaitlin Olson;Matt Gourley;Jeremy Carter;Mark McConville,,https://comedybangbang.fandom.com/wiki/Paul_F._Tompkins_Steps_In,,1.0,0.077,0.138,FALSE
39,2010-02-05,training,2010,65,regular,The Premiere of Bob Ducca,Garfunkel and Oates;Seth Morris as Bob Ducca;Brendon Walsh,,https://comedybangbang.fandom.com/wiki/The_Premiere_of_Bob_Ducca,,1.0,0.077,0.138,FALSE
40,2010-02-12,training,2010,76,regular,Happy Valentines Day,Doug Benson;James Adomian as Christopher Hitchens;Harris Wittels;Paul F. Tompkins as Garry Marshall,Harris Phone Corner; Would You Rather,https://comedybangbang.fandom.com/wiki/Happy_Valentines_Day,,1.0,0.077,0.138,FALSE
41,2010-02-19,training,2010,68,regular,Winter Olympic Fever,Aimee Mann;Kumail Nanjiani;Drew Droege as Maya Angelou,,https://comedybangbang.fandom.com/wiki/Winter_Olympic_Fever,,1.0,0.077,0.138,FALSE
42,2010-02-26,training,2010,56,regular,Winter Olympic Fever,Nick Thune;Matt Walsh as Stash Polinyac;Ian Roberts as Boris Darchinian;Danielle Schneider as Irena Stinchen;James Pumphrey,,https://comedybangbang.fandom.com/wiki/Winter_Olympic_Fever:_Deux!,,1.0,0.077,0.138,FALSE
43,2010-03-05,training,2010,73,regular,Good One!,Tig Notaro;Casey Wilson as Julie Penzmere;Rory Scovel,,https://comedybangbang.fandom.com/wiki/Good_One!,,1.0,0.077,0.138,TRUE
44,2010-03-12,training,2010,70,regular,We Got A Caller on the Line,Nick Kroll as El Chupacabra;Paul F. Tompkins as Dame Sir Andrew Lloyd Webber;Jason Woliner,Would You Rather,https://comedybangbang.fandom.com/wiki/We_Got_a_Caller_on_the_Line,,1.0,0.077,0.138,FALSE
45,2010-03-19,training,2010,60,guest_host,Cyberthug Take-Over Pt. Three,Jerry Minor as Cyber Thug;James Adomian as Jesse Ventura;Craig Robinson;David Sitek;Dave Cousin;Brandon Johnson,,https://comedybangbang.fandom.com/wiki/Cyberthug_Take_Over_Pt_Three,,1.0,0.077,0.138,FALSE
46,2010-03-26,training,2010,111,regular,Curb Your Suicide Attempts,Ben Stiller;Jeff Garlin;Paul F. Tompkins as Ice-T;Andy Daly as Ben Alterman,,https://comedybangbang.fandom.com/wiki/Curb_Your_Suicide_Attempts,,1.0,0.077,0.138,FALSE
47,2010-04-02,training,2010,75,regular,Happy Chap,Greg Proops;Jon Daly as Barry R.,Would You Rather,https://comedybangbang.fandom.com/wiki/Happy_Chap,,1.0,0.077,0.138,FALSE
48,2010-04-09,training,2010,76,regular,In The Thicke of the Night,The Sklar Brothers;Paul Scheer as J. Montgomery Scott,,https://comedybangbang.fandom.com/wiki/In_the_Thicke_of_the_Night,,1.0,0.077,0.138,FALSE
49,2010-04-16,training,2010,79,regular,Family Counseling,Adam Scott;Matt Walsh as Jerry McDowell;June Diane Raphael as Kathy McDowell;James Pumphrey as Damian Vast;Chris Fairbanks,,https://comedybangbang.fandom.com/wiki/Family_Counseling,,1.0,0.077,0.138,FALSE
50,2010-04-23,training,2010,63,regular,A Thrilling Hour or So,Paul Gilmartin;Mookie Blaiklock;The cast of The Thrilling Adventure Hour,,https://comedybangbang.fandom.com/wiki/A_Thrilling_Hour_or_So,,1.0,0.077,0.138,FALSE
51,2010-04-30,training,2010,132,anniversary,One Year Anniversary Party,"Tig Notaro;Paul F. Tompkins as John C. Reilly, Ice-T and Dame Sir Andrew Lloyd Webber;James Adomian as Jesse Ventura and Huell Howser;Seth Morris as Bob Ducca;Thomas Lennon as Little Gary;Rich Fulcher;Nick Kroll as Bobby Bottleservice and El Chupacabra;Jerry Minor",Would You Rather,https://comedybangbang.fandom.com/wiki/One_Year_Anniversary_Party,,1.0,0.077,0.138,TRUE
52,2010-05-07,training,2010,77,regular,Introducing,Sarah Silverman;Harris Wittels;Ben Schwartz,Harris Phone Corner,https://comedybangbang.fandom.com/wiki/Introducing:_The_Japan_Dogs,,1.0,0.077,0.138,FALSE
53,2010-05-14,training,2010,81,regular,A Cover of a Parody,Weird Al Yankovic;Garfunkel and Oates,,https://comedybangbang.fandom.com/wiki/A_Cover_of_a_Parody,,1.0,0.077,0.138,FALSE
54,2010-05-21,training,2010,73,regular,The Wacky Ding Dongs,Marc Maron;The Birthday Boys,,https://comedybangbang.fandom.com/wiki/The_Wacky_Ding_Dongs,,1.0,0.077,0.138,FALSE
55,2010-05-28,training,2010,59,regular,Go Rent Delgo!,Natasha Leggero;Jason Mantzoukas;Seth Morris as Bob Ducca,Jukebox Jury,https://comedybangbang.fandom.com/wiki/Go_Rent_Delgo!,,1.0,0.077,0.138,FALSE
56,2010-06-04,training,2010,74,regular,Is Dave Foley Here?,David Anthony Higgins;Paul F. Tompkins as Cake Boss,,https://comedybangbang.fandom.com/wiki/Is_Dave_Foley_Here%3F,,1.0,0.077,0.138,FALSE
57,2010-06-11,training,2010,68,regular,"A Buttery, Juicy Episode",Brian Posehn;James Adomian as Merrill Shindler,,"https://comedybangbang.fandom.com/wiki/A_Buttery,_Juicy_Episode",,1.0,0.077,0.138,FALSE
58,2010-06-19,training,2010,87,regular,I Want It That Way,Rob Huebel;Steel Panther,,https://comedybangbang.fandom.com/wiki/I_Want_It_That_Way,,1.0,0.077,0.138,FALSE
59,2010-06-25,training,2010,82,regular,Free Subarus for Moms!,Paul F. Tompkins;Todd Glass;Andy Daly as August Lindt,Would You Rather,https://comedybangbang.fandom.com/wiki/Free_Subarus_for_Moms!,,1.0,0.077,0.138,TRUE
60,2010-07-02,training,2010,68,regular,Now Hiring Interns!,Donald Glover;Jessica St. Clair as Marissa Wompler;Brendon Walsh,,https://comedybangbang.fandom.com/wiki/Now_Hiring_Interns!,,1.0,0.077,0.138,FALSE
61,2010-07-09,training,2010,76,regular,Palin 2012,Jimmy Pardo;Rory Scovel,,https://comedybangbang.fandom.com/wiki/Palin_2012,,1.0,0.077,0.138,FALSE
62,2010-07-16,training,2010,79,regular,Serious or Sarcastic?,Andy Richter;Matt Besser as Bennett Stevens;Paul F. Tompkins as Danny Glover;Paul Rust;Michael Cassady;Harris Wittels,Would You Rather,https://comedybangbang.fandom.com/wiki/Serious_or_Sarcastic%3F,,1.0,0.077,0.138,FALSE
63,2010-07-23,training,2010,63,regular,Harrys World,Jon Hamm;Rich Sommer;David Koechner as Gerald T-Bones Tibbons,,https://comedybangbang.fandom.com/wiki/Harry%27s_World:_Mad_Men,,1.0,0.077,0.138,FALSE
64,2010-07-30,training,2010,77,regular,Harrison Ford Approved,Sarah Silverman;Mary Lynn Rajskub;James Adomian as Merrill Shindler,,https://comedybangbang.fandom.com/wiki/Harrison_Ford_Approved,,1.0,0.077,0.138,FALSE
65,2010-08-05,training,2010,79,regular,Welcome To Earwolf!,The Sklar Brothers;Seth Morris as Bob Ducca,Jukebox Jury,https://comedybangbang.fandom.com/wiki/Welcome_to_Earwolf!,,1.0,0.077,0.138,FALSE
66,2010-08-12,training,2010,110,regular,Where Do Babies Come From?,Bob Odenkirk;Brett Gelman,,#N/A,,1.0,0.077,0.138,FALSE
67,2010-08-19,training,2010,77,regular,What Happens In Vegas,Rob Corddry;Lake Bell;Paul F. Tompkins as Cake Boss,Would You Rather,https://comedybangbang.fandom.com/wiki/What_Happens_in_Vegas,,1.0,0.077,0.138,FALSE
68,2010-08-26,training,2010,76,live,Live From LA its Comedy Bang Bang!,Fred Armisen;Howard Kremer;Trainwreck,Would You Rather,https://comedybangbang.fandom.com/wiki/Live_from_LA_It%27s_Comedy_Bang_Bang!,,1.0,0.077,0.138,FALSE
69,2010-09-01,training,2010,81,regular,I Am Not Food,Thomas Lennon as Little Gary;Kumail Nanjiani;Loch and Key,Entourage re-cap;What Am I Thinking,https://comedybangbang.fandom.com/wiki/I_Am_Not_Food,,1.0,0.077,0.138,TRUE
70,2010-09-08,training,2010,94,regular,Rock n Roll Dreams,Ted Leo;Aimee Mann;Jon Wurster;Paul F. Tompkins as Mr. Brainwash,"Jukebox Jury;Fortunately, Unfortunately",https://comedybangbang.fandom.com/wiki/Rock_%27n_Roll_Dreams,,1.0,0.077,0.138,FALSE
71,2010-09-15,training,2010,70,regular,Comedy Death Scott,"Paul Scheer as himself and J. Montgomery Scott;Nick Kroll as himself, El Chupacabra, and Vinnie from Port Washington",,https://comedybangbang.fandom.com/wiki/Comedy_Death_Scott,,1.0,0.077,0.138,FALSE
72,2010-09-22,training,2010,74,regular,History In The Making,"Janeane Garofalo;Andy Dick;James Adomian as Paul Giamatti, Huell Howser, and Mr. Hairslice",,https://comedybangbang.fandom.com/wiki/History_in_the_Making,,1.0,0.077,0.138,FALSE
73,2010-09-29,training,2010,81,regular,Featuring Betty White!,Nick Swardson as himself and Betty White;Jon Daly as Bill Cosby-Bukowski,UnGames Question of the Week;Jukebox Jury;Would You Rather,https://comedybangbang.fandom.com/wiki/Featuring_Betty_White!,,1.0,0.077,0.138,TRUE
74,2010-10-06,training,2010,94,regular,Introducing Rocky!,Andy Daly as Bill Carter and Patrick McMahon;Jason Mantzoukas,,https://comedybangbang.fandom.com/wiki/Introducing_Rocky!,,1.0,0.077,0.138,FALSE
75,2010-10-13,training,2010,72,regular,The Farting Fuck Faces,Mike Birbiglia;Matt Besser as Mark Zuckerberg;Henry Phillips,Fortunately Unfortunately,https://comedybangbang.fandom.com/wiki/The_Farting_Fuck_Faces,,1.0,0.077,0.138,FALSE
76,2010-10-15,training,2010,136,regular,"Can He Sing, Jeremy Piven?",Zach Galifianakis;Paul F. Tompkins as Dame Sir Andrew Lloyd Webber;Dillon Campbell,What Am I Thinking;Jukebox Jury;Would You Rather,#N/A,,1.0,0.077,0.138,FALSE
77,2010-10-27,training,2010,112,regular,Crappy Howl-o-ween!,Jerry Minor as Cyber Thug;Sean Dickerson as Miles Archer;Allan McLeod as Ghost Boy;Jon Daly as Beuford le Barron;Brett Gelman as Messmore le Barron;Nick Wiger as Leo Carpazzi,Would You Rather,https://comedybangbang.fandom.com/wiki/Crappy_Howl-o-ween!,,1.0,0.077,0.138,FALSE
78,2010-11-03,training,2010,89,regular,Poundin Puss in Heaven,Doug Benson;John Gemberling as Pastor Rhe Holner,The Leonard Maltin Games;What Am I Thinking,https://comedybangbang.fandom.com/wiki/Poundin%27_Puss_in_Heaven,,1.0,0.077,0.138,FALSE
79,2010-11-10,training,2010,92,regular,Whod Fuck Tom Brady?,Eugene Mirman;Jackie Clarke as Claire Woodruff;Mookie Blaiklock as Carl McCarthy,What Am I Thinking,https://comedybangbang.fandom.com/wiki/Who%27d_Fuck_Tom_Brady%3F,,1.0,0.077,0.138,FALSE
80,2010-11-17,training,2010,107,regular,Enigma Force Five Reunion,Adam Scott;Paul F. Tompkins as Ice-T;James Adomian as Jesse Ventura and Huell Howser,,https://comedybangbang.fandom.com/wiki/Enigma_Force_Five_Reunion,,1.0,0.077,0.138,FALSE
81,2010-11-24,training,2010,89,regular,Todd Barry Vs. Borders,Todd Barry;Paul Rust as Leo Carnell;Neil Campbell as Nathan Morrow,What Am I Thinking,https://comedybangbang.fandom.com/wiki/Todd_Barry_Vs._Borders,,1.0,0.077,0.138,FALSE
82,2010-11-29,training,2010,102,regular,Dammit That Was a Hot Jam,Kevin Nealon;Sarah Silverman;Tig Notaro;Jon Daly as Barry R.;Jerry Minor as Cyberthug;Sean Dickerson as Miles Archer,Would You Rather,https://comedybangbang.fandom.com/wiki/Dammit_That_Was_a_Hot_Jam,,1.0,0.077,0.138,FALSE
83,2010-12-06,training,2011,67,regular,Family Matters,Michael Ian Black;Seth Morris as Bob Ducca,Would You Rather,https://comedybangbang.fandom.com/wiki/Family_Matters,,1.0,0.083,0.208,FALSE
84,2010-12-13,training,2011,84,regular,Impotent Teamsters Unite,Harris Wittels;Reggie Watts;Eddie Pepitone as Tommy Malone,Harris Foam Corner;What Am I Thinking,https://comedybangbang.fandom.com/wiki/Impotent_Teamsters_Unite,,1.0,0.083,0.208,FALSE
85,2010-12-20,training,2011,122,holiday,Thats One Way of Doing It,"Colin Hanks;Paul F. Tompkins as Cake Boss;Nick Kroll as El Chupacabra;Seth Morris as Bob Ducca;Andy Daly as Don Dimello;Brett Gelman as himself and James Gandolfini;Neil Campbell as Pimsy the Elf, Jerry, and Ebesneezer Scrooge",,https://comedybangbang.fandom.com/wiki/That%27s_One_Way_of_Doing_It,6,1.0,0.083,0.208,TRUE
86,2011-01-03,training,2011,75,regular,The New Year Attack of 2011,Patton Oswalt;Rob Huebel,Alive or Dead;Would You Rather,https://comedybangbang.fandom.com/wiki/The_New_Year_Attack_of_2011,,1.0,0.083,0.208,FALSE
87,2011-01-10,training,2011,91,regular,Droppin Wallets!,Nick Thune;Chelsea Peretti,Sports Results;Jukebox Jury;What Am I Thinking,https://comedybangbang.fandom.com/wiki/Droppin%27_Wallets!,,1.0,0.083,0.208,FALSE
88,2011-01-17,training,2011,94,regular,Impression Off,Chris Hardwick;Matt Braunger,Guess the Misheard Lyrics;The WTF Question of the Week;Would You Rather,https://comedybangbang.fandom.com/wiki/Impression_Off,,1.0,0.083,0.208,FALSE
89,2011-01-24,training,2011,92,regular,Great Big Hill of Hope,Nick Kroll as Fabrice Fabrice and Bobby Bottleservice;Harris Wittels,Harris Foam Corner;Jukebox Jury,https://comedybangbang.fandom.com/wiki/Great_Big_Hill_of_Hope,,1.0,0.083,0.208,FALSE
90,2011-01-31,training,2011,89,regular,Is This Sexual Harassment?,Brett Gelman;Michael Gladis;Maria Thayer,Is This News Story True or False;What Am I Thinking;Would You Rather,https://comedybangbang.fandom.com/wiki/Is_This_Sexual_Harassment%3F,,1.0,0.083,0.208,FALSE
91,2011-02-07,training,2011,105,regular,Garry Marshall Presents,Weird Al Yankovic;Tom Scharpling;Paul F. Tompkins as Garry Marshall,Who Said It;Would You Rather,https://comedybangbang.fandom.com/wiki/Garry_Marshall_Presents,,1.0,0.083,0.208,FALSE
92,2011-02-14,training,2011,72,regular,Hows Your Boner?,Andy Richter;Jessica St. Clair as Marissa Wompler,Guess the Celebrities’ Real Name;What Am I Thinking;Would You Rather,https://comedybangbang.fandom.com/wiki/How%27s_Your_Boner%3F,,1.0,0.083,0.208,FALSE
93,2011-02-21,training,2011,77,regular,And The Oscar Goes To...,Reggie Watts;James Adomian as Paul Giamatti,Oscar Trivia;Would You Rather,https://comedybangbang.fandom.com/wiki/And_the_Oscar_Goes_to...,,1.0,0.083,0.208,FALSE
94,2011-02-28,training,2011,83,regular,Dip Didda Dip Dow!,Ben Schwartz;Andy Daly as Hot Dog,Jukebox Jury,https://comedybangbang.fandom.com/wiki/Dip_Didda_Dip_Dow!,3,1.0,0.083,0.208,TRUE
95,2011-03-07,training,2011,84,regular,Phishing For Compliments,Natasha Leggero;Harris Wittels;Matt Besser as King George VI,Harris Foam Corner;Jukebox Jury;Would You Rather,https://comedybangbang.fandom.com/wiki/Phishing_for_Compliments,,1.0,0.083,0.208,FALSE
96,2011-03-13,training,2011,92,live,Live from SXSW!,Paul Reubens;Dave Foley;Thomas Lennon as Little Gary,Would You Rather,https://comedybangbang.fandom.com/wiki/Live_from_SXSW!,9,1.0,0.083,0.208,TRUE
97,2011-03-21,training,2011,70,regular,Can I Catch A Ride?,Jon Hamm;Seth Morris as Bob Ducca,Who Said It;What Am I Thinking,https://comedybangbang.fandom.com/wiki/Can_I_Catch_a_Ride%3F,,1.0,0.083,0.208,FALSE
98,2011-03-28,training,2011,90,regular,A Worthy Uhhh,Adam Scott;James Adomian as Alan Rickman,Guess The Misheard Lyric;Jukebox Jury,https://comedybangbang.fandom.com/wiki/A_Worthy_Uhhh,,1.0,0.083,0.208,FALSE
99,2011-04-04,training,2011,90,regular,Somethin For Daddy!,Patton Oswalt;Andy Daly as Don Dimello,Would You Rather,https://comedybangbang.fandom.com/wiki/Somethin%27_for_Daddy!,2,1.0,0.083,0.208,TRUE
100,2011-04-11,training,2011,73,regular,The Big One-Oh-Oh,Susanna Hoffs;Matthew Sweet;Rob Huebel;Thomas Lennon as himself and Little Gary;Doug Benson,Who Said It,https://comedybangbang.fandom.com/wiki/The_Big_One-Oh-Oh,,1.0,0.083,0.208,FALSE
101,2011-04-18,training,2011,74,regular,Booked It!,Joe Lo Truglio;Casey Wilson;Matt Besser as Fred Phelps,Would You Rather,https://comedybangbang.fandom.com/wiki/Booked_It!,,1.0,0.083,0.208,FALSE
102,2011-04-25,training,2011,100,regular,Behind the Music,Tim Heidecker as himself and Elton John;Gregg Turkington as Neil Hamburger and Bernie Taupin,Alive or Dead,https://comedybangbang.fandom.com/wiki/Behind_the_Music,,1.0,0.083,0.208,FALSE
103,2011-05-02,training,2011,123,regular,These Times They Are A-Changin,"Paul F. Tompkins as himself, Huell Howser, and Yogi Bear;Reggie Watts;Andy Daly as Clive Dundee;Paul Scheer as Truck Bastien;Tig Notaro;Nick Kroll as El Chupacabra;James Adomian as Huell Howser, Jesse Ventura, and Paul F. Tompkins",,https://comedybangbang.fandom.com/wiki/These_Times_They_Are_A-Changin%E2%80%99?so=search,4,1.0,0.083,0.208,TRUE
104,2011-05-09,training,2011,86,regular,Shut Up Dracula!,Paul Feig;The Birthday Boys,Would You Rather,https://comedybangbang.fandom.com/wiki/Shut_Up_Dracula!,,1.0,0.083,0.208,FALSE
105,2011-05-16,training,2011,95,regular,Comedy is Honey,Matt Walsh;Scot Armstrong;Jon Daly as Sappity Tappity,Alive or Dead;What Am I Thinking,https://comedybangbang.fandom.com/wiki/Comedy_Is_Honey,,1.0,0.083,0.208,FALSE
